area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,"100,300",2.2,,,,18.49,"38,470",0.6,11.75,13.81,17.33,22.32,27.69,"24,430","28,730","36,050","46,420","57,590",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,"19,560",3.9,,,,19.16,"39,840",0.8,12.69,15.00,18.39,22.69,27.23,"26,390","31,210","38,250","47,200","56,630",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4192,"Layout Workers, Metal and Plastic",detailed,"8,150",4.3,,,,23.51,"48,900",1.6,14.47,18.39,24.01,28.39,31.35,"30,090","38,240","49,940","59,050","65,200",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"41,810",3.2,,,,17.14,"35,640",0.7,11.35,13.20,16.10,19.90,24.66,"23,600","27,450","33,500","41,400","51,290",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,"6,440",5.2,,,,20.18,"41,970",1.6,12.02,15.10,18.91,24.58,29.75,"25,000","31,400","39,330","51,130","61,870",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,"24,340",5.7,,,,18.17,"37,790",1.2,11.44,13.37,16.75,21.84,27.72,"23,790","27,800","34,830","45,420","57,660",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-5100,Printing Workers,minor,"249,300",1.2,,,,18.65,"38,790",0.5,11.40,13.75,17.60,22.63,28.02,"23,710","28,590","36,610","47,080","58,270",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-5110,Printing Workers,broad,"249,300",1.2,,,,18.65,"38,790",0.5,11.40,13.75,17.60,22.63,28.02,"23,710","28,590","36,610","47,080","58,270",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-5111,Prepress Technicians and Workers,detailed,"30,270",2.6,,,,20.45,"42,540",1.0,12.26,15.31,19.48,24.57,30.09,"25,500","31,850","40,510","51,100","62,590",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,"173,430",1.4,,,,18.80,"39,100",0.5,11.46,13.86,17.74,22.79,28.24,"23,830","28,840","36,910","47,400","58,740",,
