Description,Code,Median,Mean
  Administrative occupations,41,20719,22303
    Administrative occupations: Government and related organisations,411,23212,23456
      National government administrative occupations,4112,23560,23936
      Local government administrative occupations,4113,22185,22583
      Officers of non-governmental organisations,4114,x,21170
    Administrative occupations: Finance,412,20941,23142
      Credit controllers,4121,22940,22598
"      Book-keepers, payroll managers and wages clerks",4122,21218,23504
      Bank and post office clerks,4123,18867,21372
      Finance officers,4124,23611,31069
      Financial administrative occupations n.e.c.,4129,20609,21896
    Administrative occupations: Records,413,21367,22206
      Records clerks and assistants,4131,20217,21217
      Pensions and insurance clerks and assistants,4132,21435,22145
      Stock control clerks and assistants,4133,21913,22779
      Transport and distribution clerks and assistants,4134,25597,26468
      Library clerks and assistants,4135,14044,14665
      Human resources administrative occupations,4138,20439,22322
    Other administrative occupations,415,18000,19412
      Sales administrators,4151,21967,22704
      Other administrative occupations n.e.c.,4159,17619,19157
    Administrative occupations: Office managers and supervisors,416,28343,31025
      Office managers,4161,29324,31882
      Office supervisors,4162,25883,26826
  Secretarial and related occupations,42,15548,17497
    Secretarial and related occupations,421,15548,17497
      Medical secretaries,4211,18126,17347
      Legal secretaries,4212,19038,20637
      School secretaries,4213,16604,16448
      Company secretaries,4214,11089,18418
      Personal assistants and other secretaries,4215,17668,20677
      Receptionists,4216,13857,14393
      Typists and related keyboard occupations,4217,17832,18683
Skilled trades occupations,5,27573,28973
  Skilled agricultural and related trades,51,20771,21212
    Agricultural and related trades,511,20771,21212
      Farmers,5111,x,26133
      Horticultural trades,5112,20048,20962
      Gardeners and landscape gardeners,5113,20289,19672
      Groundsmen and greenkeepers,5114,20508,21492
      Agricultural and fishing trades n.e.c.,5119,21786,23059
"  Skilled metal, electrical and electronic trades",52,31803,33151
"    Metal forming, welding and related trades",521,28644,29546
      Smiths and forge workers,5211,,
"      Moulders, core makers and die casters",5212,x,24499
      Sheet metal workers,5213,25585,28365
"      Metal plate workers, and riveters",5214,32533,34458
      Welding trades,5215,28161,28992
      Pipe fitters,5216,38371,38962
"    Metal machining, fitting and instrument making trades",522,31557,33403
      Metal machining setters and setter-operators,5221,28939,29889
"      Tool makers, tool fitters and markers-out",5222,30308,32276
      Metal working production and maintenance fitters,5223,32527,34273
      Precision instrument makers and repairers,5224,27847,30448
      Air-conditioning and refrigeration engineers,5225,34675,34146
    Vehicle trades,523,29267,30572
"      Vehicle technicians, mechanics and electricians",5231,28790,29814
      Vehicle body builders and repairers ,5232,x,29243
      Vehicle paint technicians,5234,29308,28987
      Aircraft maintenance and related trades,5235,37881,39409
      Boat and ship builders and repairers,5236,27203,31909
      Rail and rolling stock builders and repairers,5237,x,46628
    Electrical and electronic trades,524,33572,34434
      Electricians and electrical fitters,5241,33047,33378
      Telecommunications engineers,5242,34484,36968
"      TV, video and audio engineers",5244,x,27299
      IT engineers,5245,29353,31902
      Electrical and electronic trades n.e.c.,5249,34474,35690
"    Skilled metal, electrical and electronic trades supervisors",525,35963,38159
"      Skilled metal, electrical and electronic trades supervisors",5250,35963,38159
  Skilled construction and building trades,53,28954,29893
    Construction and building trades,531,28216,28385
      Steel erectors,5311,29441,28507
      Bricklayers and masons,5312,x,27022
"      Roofers, roof tilers and slaters",5313,26561,27041
      Plumbers and heating and ventilating engineers,5314,32028,31611
      Carpenters and joiners,5315,28286,28221
"      Glaziers, window fabricators and fitters",5316,23348,23583
      Construction and building trades n.e.c.,5319,x,27479
    Building finishing trades,532,26495,28568
      Plasterers,5321,29677,28335
      Floorers and wall tilers,5322,27376,28947
      Painters and decorators,5323,25543,28446
    Construction and building trades supervisors,533,38539,38897
      Construction and building trades supervisors,5330,38539,38897
"  Textiles, printing and other skilled trades",54,19841,20214
    Textiles and garments trades,541,20144,21701
      Weavers and knitters,5411,23737,24429
      Upholsterers,5412,19686,20112
      Footwear and leather working trades,5413,22160,24122
      Tailors and dressmakers,5414,x,x
"      Textiles, garments and related trades n.e.c.",5419,x,19226
    Printing trades,542,24716,25001
      Pre-press technicians,5421,x,26643
      Printers,5422,25626,26338
      Print finishing and binding workers,5423,23497,22791
    Food preparation and hospitality trades,543,18980,19211
      Butchers,5431,21788,21986
      Bakers and flour confectioners,5432,19538,19874
      Fishmongers and poultry dressers,5433,x,15344
      Chefs,5434,19987,20448
      Cooks,5435,13105,13431
      Catering and bar managers,5436,21117,21729
    Other skilled trades,544,23427,23814
"      Glass and ceramics makers, decorators and finishers",5441,22249,22846
      Furniture makers and other craft woodworkers,5442,23776,24869
      Florists,5443,x,10406
      Other skilled trades n.e.c.,5449,25527,27030
"Caring, leisure and other service occupations",6,15372,15921
  Caring personal service occupations,61,15319,15789
    Childcare and related personal services,612,13404,13743
      Nursery nurses and assistants,6121,14127,14349
      Childminders and related occupations,6122,14528,17436
      Playworkers,6123,x,6876
      Teaching assistants,6125,13827,14111
      Educational support assistants,6126,13184,13537
    Animal care and control services,613,18236,18245
      Veterinary nurses,6131,18625,19370
      Pest control officers,6132,24738,24421
      Animal care services occupations n.e.c.,6139,16447,16734
    Caring personal services,614,16719,16935
      Nursing auxiliaries and assistants,6141,18052,17636
      Ambulance staff (excluding paramedics),6142,23535,24248
      Dental nurses,6143,15401,15876
      Houseparents and residential wardens,6144,20942,21987
      Care workers and home carers,6145,15539,16013
      Senior care workers,6146,18805,19434
      Care escorts,6147,7445,8026
"      Undertakers, mortuary and crematorium assistants",6148,22570,20997
"  Leisure, travel and related personal service occupations",62,15835,16693
    Leisure and travel services,621,17567,18933
      Sports and leisure assistants,6211,x,12562
      Travel agents,6212,19932,22905
      Air travel assistants,6214,x,19683
      Rail travel assistants,6215,34292,36082
      Leisure and travel service occupations n.e.c.,6219,x,11227
    Hairdressers and related services,622,12203,13362
      Hairdressers and barbers,6221,12207,13692
      Beauticians and related occupations,6222,11817,12842
    Housekeeping and related services,623,17615,16753
      Housekeepers and related occupations,6231,14340,14491
      Caretakers,6232,19126,17966
    Cleaning and housekeeping managers and supervisors,624,17024,17381
      Cleaning and housekeeping managers and supervisors,6240,17024,17381
Sales and customer service occupations,7,14512,16223
  Sales occupations,71,12802,14452
    Sales assistants and retail cashiers,711,11966,13637
      Sales and retail assistants,7111,11803,13622
      Retail cashiers and check-out operators,7112,10394,11377
      Telephone salespersons,7113,20953,21725
      Pharmacy and other dispensing assistants,7114,14009,13980
      Vehicle and parts salespersons and advisers,7115,24297,26944
    Sales related occupations,712,20470,21311
      Collector salespersons and credit agents,7121,,
"      Debt, rent and other cash collectors",7122,19819,20347
      Roundspersons and van salespersons,7123,23611,24557
      Market and street traders and assistants,7124,x,x
      Merchandisers and window dressers,7125,18144,19156
      Sales related occupations n.e.c.,7129,21880,23638
    Sales supervisors,713,21533,22403
      Sales supervisors,7130,21533,22403
  Customer service occupations,72,19708,20577
    Customer service occupations,721,18499,18474
      Call and contact centre occupations,7211,18714,18976
      Telephonists,7213,16194,16117
      Communication operators,7214,25757,25724
      Market research interviewers,7215,x,8571
      Customer service occupations n.e.c.,7219,18467,18314
    Customer service managers and supervisors,722,28474,31427
      Customer service managers and supervisors,7220,28474,31427
"Process, plant and machine operatives",8,24821,26345
"  Process, plant and machine operatives",81,23860,25322
    Process operatives,811,22564,24147
"      Food, drink and tobacco process operatives",8111,20777,21836
      Glass and ceramics process operatives,8112,21638,22884
      Textile process operatives,8113,23155,23638
      Chemical and related process operatives,8114,29577,32455
      Rubber process operatives,8115,x,25957
      Plastics process operatives,8116,22521,25179
      Metal making and treating process operatives,8117,25920,27862
      Electroplaters,8118,25695,28133
      Process operatives n.e.c.,8119,27800,28294
    Plant and machine operatives,812,25373,26490
      Paper and wood machine operatives,8121,22984,23937
      Coal mine operatives,8122,x,30728
      Quarry workers and related operatives,8123,31014,33673
      Energy plant operatives,8124,34451,35301
      Metal working machine operatives,8125,23663,24715
      Water and sewerage plant operatives,8126,32081,30985
      Printing machine assistants,8127,23152,24011
      Plant and machine operatives n.e.c.,8129,24611,25826
    Assemblers and routine operatives,813,22927,24580
      Assemblers (electrical and electronic products),8131,23100,23597
      Assemblers (vehicles and metal goods),8132,31256,31263
      Routine inspectors and testers,8133,25207,27106
"      Weighers, graders and sorters",8134,x,x
"      Tyre, exhaust and windscreen fitters",8135,22188,22038
      Sewing machinists,8137,17176,17461
      Assemblers and routine operatives n.e.c.,8139,21484,22966
    Construction operatives,814,27290,27844
"      Scaffolders, stagers and riggers",8141,34020,34610
      Road construction operatives,8142,30501,31019
      Rail construction and maintenance operatives,8143,33867,35158
      Construction operatives n.e.c.,8149,24837,25438
  Transport and mobile machine drivers and operatives,82,26126,27313
    Road transport drivers,821,24849,25010
      Large goods vehicle drivers,8211,30266,30196
      Van drivers,8212,20450,20962
      Bus and coach drivers,8213,25325,25976
      Taxi and cab drivers and chauffeurs,8214,x,13973
      Driving instructors,8215,x,29721
    Mobile machine drivers and operatives,822,28402,30644
      Crane drivers,8221,37081,41031
      Fork-lift truck drivers,8222,25267,26597
      Agricultural machinery drivers,8223,22941,25887
      Mobile machine drivers and operatives n.e.c.,8229,30147,31768
    Other drivers and transport operatives,823,50377,47580
      Train and tram drivers,8231,55546,55949
      Marine and waterways transport operatives,8232,x,27348
      Air transport operatives,8233,26781,27346
      Rail transport operatives,8234,47380,47711
      Other drivers and transport operatives n.e.c.,8239,x,26300
Elementary occupations,9,14653,15263
  Elementary trades and related occupations,91,21105,22182
    Elementary agricultural occupations,911,20788,20784
      Farm workers,9111,21449,21413
      Forestry workers,9112,x,23425
      Fishing and other elementary agriculture occupations n.e.c.,9119,19541,19079
    Elementary construction occupations,912,23481,24436
      Elementary construction occupations,9120,23481,24436
    Elementary process plant occupations,913,20642,21876
      Industrial cleaning process occupations,9132,19783,20160
"      Packers, bottlers, canners and fillers",9134,19711,20270
      Elementary process plant occupations n.e.c.,9139,21881,23644
  Elementary administration and service occupations,92,12674,14110
    Elementary administration occupations,921,x,17745
"      Postal workers, mail sorters, messengers and couriers",9211,x,20383
      Elementary administration occupations n.e.c.,9219,x,13552
    Elementary cleaning occupations,923,8777,10839
      Window cleaners,9231,x,16396
      Street cleaners,9232,x,x
      Cleaners and domestics,9233,8209,9978
"      Launderers, dry cleaners and pressers",9234,15225,14632
      Refuse and salvage occupations,9235,20433,20861
      Vehicle valeters and cleaners,9236,18580,17781
      Elementary cleaning occupations n.e.c.,9239,19332,19815
    Elementary security occupations,924,10838,14722
      Security guards and related occupations,9241,25385,24996
      Parking and civil enforcement occupations,9242,20026,18443
      School midday and crossing patrol occupations,9244,3093,3894
      Elementary security occupations n.e.c.,9249,x,19848
    Elementary sales occupations,925,12847,13166
      Shelf fillers,9251,12764,13141
      Elementary sales occupations n.e.c.,9259,13206,13384
    Elementary storage occupations,926,21344,22384
      Elementary storage occupations,9260,21344,22384
    Other elementary services occupations,927,8965,10092
      Hospital porters,9271,20407,21003
      Kitchen and catering assistants,9272,9730,10624
      Waiters and waitresses,9273,7096,8821
      Bar staff,9274,7644,9231
      Leisure and theme park attendants,9275,x,6316
      Other elementary services occupations n.e.c.,9279,15426,14021
Not Classified,,,
