AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3052,Motorcycle Mechanics,detailed,"13,490",4.8,,,,19.42,"40,390",1.1,12.22,14.47,18.28,23.61,29.30,"25,420","30,090","38,010","49,100","60,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,"31,500",3.1,,,,18.79,"39,090",0.7,11.71,14.46,18.04,22.68,27.61,"24,350","30,070","37,530","47,180","57,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"124,990",2.4,,,,16.06,"33,400",0.5,10.78,12.71,14.91,18.36,23.31,"22,420","26,440","31,010","38,190","48,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3091,Bicycle Repairers,detailed,"11,290",8.6,,,,16.12,"33,530",1.7,11.41,13.22,15.69,18.65,22.23,"23,740","27,490","32,630","38,790","46,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3092,Recreational Vehicle Service Technicians,detailed,"15,150",5.2,,,,21.05,"43,790",1.2,13.14,15.91,19.48,24.97,30.32,"27,340","33,090","40,520","51,950","63,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-3093,Tire Repairers and Changers,detailed,"98,560",2.7,,,,15.28,"31,790",0.6,10.58,12.37,14.45,17.47,20.78,"22,010","25,730","30,060","36,340","43,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"2,932,770",0.4,,,,23.87,"49,650",0.2,13.32,16.80,22.26,29.48,37.73,"27,710","34,950","46,290","61,330","78,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9010,Control and Valve Installers and Repairers,broad,"73,340",3.0,,,,27.46,"57,120",1.0,14.86,18.76,25.27,35.34,44.63,"30,910","39,020","52,560","73,500","92,830",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9011,Mechanical Door Repairers,detailed,"22,680",5.6,,,,21.80,"45,350",1.2,13.63,16.70,20.78,25.69,31.28,"28,340","34,740","43,220","53,440","65,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,"50,660",3.7,,,,30.00,"62,400",1.2,15.84,20.64,29.13,38.82,47.20,"32,940","42,930","60,580","80,750","98,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",broad,"344,020",1.3,,,,25.68,"53,410",0.5,15.34,18.90,24.32,30.94,38.86,"31,910","39,320","50,590","64,350","80,820",,
