AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3019,"Gambling Service Workers, All Other",detailed,"10,820",5.0,,,,,15.28,"31,790",1.7,10.26,11.09,13.94,17.07,22.24,"21,340","23,080","28,990","35,510","46,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3020,Motion Picture Projectionists,broad,"1,620",8.9,,,,,15.85,"32,970",2.6,10.72,12.00,14.11,18.01,22.78,"22,290","24,960","29,350","37,450","47,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3021,Motion Picture Projectionists,detailed,"1,620",8.9,,,,,15.85,"32,970",2.6,10.72,12.00,14.11,18.01,22.78,"22,290","24,960","29,350","37,450","47,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3030,"Ushers, Lobby Attendants, and Ticket Takers",broad,"54,970",3.1,,,,,12.69,"26,390",1.2,8.65,9.93,11.75,14.31,17.56,"17,990","20,650","24,440","29,750","36,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,"54,970",3.1,,,,,12.69,"26,390",1.2,8.65,9.93,11.75,14.31,17.56,"17,990","20,650","24,440","29,750","36,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,"279,510",2.2,,,,,12.81,"26,650",0.5,8.69,10.48,11.93,14.25,17.21,"18,080","21,800","24,800","29,640","35,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3091,Amusement and Recreation Attendants,detailed,"262,170",2.3,,,,,12.55,"26,110",0.4,8.67,10.43,11.78,14.17,16.91,"18,030","21,700","24,500","29,480","35,170",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3092,Costume Attendants,detailed,"3,380",11.6,,,,,26.25,"54,590",4.5,12.96,15.09,23.00,36.99,39.77,"26,950","31,380","47,850","76,940","82,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,"9,670",5.7,,,,,14.53,"30,220",1.4,9.24,11.17,13.74,16.01,20.27,"19,210","23,220","28,570","33,300","42,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,"4,290",11.3,,,,,14.27,"29,680",3.6,8.36,9.92,11.62,14.70,22.42,"17,390","20,630","24,170","30,570","46,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4000,Funeral Service Workers,minor,"63,300",1.1,,,,,20.58,"42,800",0.9,11.23,13.84,17.54,23.51,35.38,"23,350","28,780","36,490","48,890","73,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4010,Embalmers and Crematory Operators,broad,"6,110",5.0,,,,,22.77,"47,350",1.8,13.94,17.16,21.62,26.97,36.22,"29,000","35,690","44,960","56,090","75,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4011,Embalmers,detailed,"4,070",5.5,,,,,24.62,"51,210",2.1,13.94,17.97,22.97,29.42,37.60,"29,000","37,380","47,780","61,200","78,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4012,Crematory Operators,detailed,"2,040",11.8,,,,,19.07,"39,660",1.5,13.90,15.23,18.03,21.28,24.42,"28,910","31,690","37,490","44,270","50,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4020,Funeral Attendants,broad,"32,490",1.7,,,,,15.21,"31,630",1.1,10.75,11.78,14.05,17.23,21.95,"22,350","24,490","29,230","35,840","45,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4021,Funeral Attendants,detailed,"32,490",1.7,,,,,15.21,"31,630",1.1,10.75,11.78,14.05,17.23,21.95,"22,350","24,490","29,230","35,840","45,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4030,"Morticians, Undertakers, and Funeral Arrangers",broad,"24,700",2.1,,,,,27.10,"56,360",1.2,14.25,18.21,23.53,30.68,40.17,"29,640","37,880","48,950","63,820","83,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,"24,700",2.1,,,,,27.10,"56,360",1.2,14.25,18.21,23.53,30.68,40.17,"29,640","37,880","48,950","63,820","83,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5000,Personal Appearance Workers,minor,"481,530",1.1,,,,,16.99,"35,350",1.2,10.30,12.01,14.22,18.22,26.95,"21,420","24,980","29,590","37,890","56,050",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"298,880",1.5,,,,,17.30,"35,980",1.3,10.06,11.56,14.27,18.71,28.36,"20,920","24,040","29,680","38,910","58,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5011,Barbers,detailed,"12,910",8.1,,,,,17.16,"35,700",3.2,10.79,12.65,14.41,21.51,25.60,"22,430","26,300","29,970","44,730","53,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,"285,980",1.6,,,,,17.30,"35,990",1.3,10.03,11.52,14.26,18.65,28.40,"20,860","23,960","29,670","38,790","59,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5090,Miscellaneous Personal Appearance Workers,broad,"182,640",3.6,,,,,16.50,"34,310",1.9,10.72,12.96,14.16,17.74,23.04,"22,290","26,960","29,450","36,900","47,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5091,"Makeup Artists, Theatrical and Performance",detailed,"1,960",39.0,,,,,59.80,"124,380",12.2,18.31,37.91,64.78,79.12,82.77,"38,070","78,850","134,750","164,560","172,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5092,Manicurists and Pedicurists,detailed,"120,540",2.1,,,,,14.65,"30,480",1.0,10.72,12.70,14.05,14.95,18.67,"22,290","26,420","29,210","31,100","38,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5093,Shampooers,detailed,"9,560",11.2,,,,,12.09,"25,160",2.6,9.00,10.61,11.75,13.88,14.62,"18,720","22,070","24,440","28,860","30,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-5094,Skincare Specialists,detailed,"50,580",9.1,,,,,20.05,"41,700",2.4,11.10,14.06,17.93,22.83,31.58,"23,100","29,240","37,300","47,490","65,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-6000,"Baggage Porters, Bellhops, and Concierges",minor,"54,100",4.3,,,,,16.68,"34,680",2.0,10.89,13.57,14.77,18.42,23.85,"22,660","28,220","30,720","38,320","49,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-6010,"Baggage Porters, Bellhops, and Concierges",broad,"54,100",4.3,,,,,16.68,"34,680",2.0,10.89,13.57,14.77,18.42,23.85,"22,660","28,220","30,720","38,320","49,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-6011,Baggage Porters and Bellhops,detailed,"20,530",4.9,,,,,14.44,"30,040",2.5,8.90,11.21,14.00,16.73,18.77,"18,520","23,320","29,120","34,790","39,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-6012,Concierges,detailed,"33,560",6.1,,,,,18.04,"37,520",2.2,12.03,14.26,16.93,21.67,27.76,"25,030","29,660","35,210","45,070","57,750",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7000,Tour and Travel Guides,minor,"30,980",3.1,,,,,15.96,"33,200",1.7,10.07,11.68,14.32,18.11,22.98,"20,950","24,300","29,780","37,670","47,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,broad,"30,980",3.1,,,,,15.96,"33,200",1.7,10.07,11.68,14.32,18.11,22.98,"20,950","24,300","29,780","37,670","47,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,detailed,"30,980",3.1,,,,,15.96,"33,200",1.7,10.07,11.68,14.32,18.11,22.98,"20,950","24,300","29,780","37,670","47,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9000,Other Personal Care and Service Workers,minor,"1,088,670",1.2,,,,,15.99,"33,260",0.5,9.93,11.40,14.20,17.99,23.39,"20,650","23,710","29,540","37,430","48,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9010,Childcare Workers,broad,"438,520",1.6,,,,,13.31,"27,680",0.5,8.91,10.88,13.22,14.47,17.99,"18,540","22,640","27,490","30,100","37,430",,
