Description,Code,Median,Mean
      Sales related occupations n.e.c.,7129,18912,20301
    Sales supervisors,713,19353,20605
      Sales supervisors,7130,19353,20605
  Customer service occupations,72,17995,19039
    Customer service occupations,721,16852,17147
      Call and contact centre occupations,7211,16270,16549
      Telephonists,7213,14986,15315
      Communication operators,7214,26456,25984
      Market research interviewers,7215,x,9664
      Customer service occupations n.e.c.,7219,16912,17029
    Customer service managers and supervisors,722,26381,28335
      Customer service managers and supervisors,7220,26381,28335
"Process, plant and machine operatives",8,23237,24620
"  Process, plant and machine operatives",81,21915,23766
    Process operatives,811,20029,21923
"      Food, drink and tobacco process operatives",8111,18352,19370
      Glass and ceramics process operatives,8112,21494,23324
      Textile process operatives,8113,x,x
      Chemical and related process operatives,8114,28684,31401
      Rubber process operatives,8115,29447,26640
      Plastics process operatives,8116,x,25434
      Metal making and treating process operatives,8117,24379,25567
      Electroplaters,8118,22875,23565
      Process operatives n.e.c.,8119,20734,24990
    Plant and machine operatives,812,22478,24250
      Paper and wood machine operatives,8121,18718,20370
      Coal mine operatives,8122,,
      Quarry workers and related operatives,8123,x,x
      Energy plant operatives,8124,29712,32397
      Metal working machine operatives,8125,22335,22957
      Water and sewerage plant operatives,8126,x,28970
      Printing machine assistants,8127,20697,21876
      Plant and machine operatives n.e.c.,8129,21960,25591
    Assemblers and routine operatives,813,22325,24772
      Assemblers (electrical and electronic products),8131,x,21729
      Assemblers (vehicles and metal goods),8132,33728,33617
      Routine inspectors and testers,8133,23526,24740
"      Weighers, graders and sorters",8134,19535,18741
"      Tyre, exhaust and windscreen fitters",8135,18743,19409
      Sewing machinists,8137,15184,15301
      Assemblers and routine operatives n.e.c.,8139,20592,22139
    Construction operatives,814,24231,24452
"      Scaffolders, stagers and riggers",8141,32716,33851
      Road construction operatives,8142,27085,28287
      Rail construction and maintenance operatives,8143,26535,27200
      Construction operatives n.e.c.,8149,21902,21990
  Transport and mobile machine drivers and operatives,82,24439,25392
    Road transport drivers,821,23520,23544
      Large goods vehicle drivers,8211,28292,28071
      Van drivers,8212,19691,20164
      Bus and coach drivers,8213,23798,24019
      Taxi and cab drivers and chauffeurs,8214,x,19554
      Driving instructors,8215,x,33902
    Mobile machine drivers and operatives,822,26030,27615
      Crane drivers,8221,37478,39794
      Fork-lift truck drivers,8222,21318,22747
      Agricultural machinery drivers,8223,23983,24169
      Mobile machine drivers and operatives n.e.c.,8229,27366,28405
    Other drivers and transport operatives,823,40947,40711
      Train and tram drivers,8231,52748,51307
      Marine and waterways transport operatives,8232,x,x
      Air transport operatives,8233,25407,26635
      Rail transport operatives,8234,37335,37914
      Other drivers and transport operatives n.e.c.,8239,x,24429
Elementary occupations,9,13702,14213
  Elementary trades and related occupations,91,18720,19521
    Elementary agricultural occupations,911,19096,18920
      Farm workers,9111,19779,19274
      Forestry workers,9112,20153,21273
      Fishing and other elementary agriculture occupations n.e.c.,9119,17326,17866
    Elementary construction occupations,912,21526,22785
      Elementary construction occupations,9120,21526,22785
    Elementary process plant occupations,913,18075,18841
      Industrial cleaning process occupations,9132,x,14612
"      Packers, bottlers, canners and fillers",9134,17085,17871
      Elementary process plant occupations n.e.c.,9139,19806,20614
  Elementary administration and service occupations,92,12277,13468
    Elementary administration occupations,921,23170,21570
"      Postal workers, mail sorters, messengers and couriers",9211,24056,22917
      Elementary administration occupations n.e.c.,9219,12285,13085
    Elementary cleaning occupations,923,7825,9517
      Window cleaners,9231,x,x
      Street cleaners,9232,17726,17310
      Cleaners and domestics,9233,7232,8673
"      Launderers, dry cleaners and pressers",9234,12872,12584
      Refuse and salvage occupations,9235,19424,20010
      Vehicle valeters and cleaners,9236,15398,14476
      Elementary cleaning occupations n.e.c.,9239,x,17302
    Elementary security occupations,924,11348,13642
      Security guards and related occupations,9241,21209,21383
      Parking and civil enforcement occupations,9242,18776,17086
      School midday and crossing patrol occupations,9244,2612,3305
      Elementary security occupations n.e.c.,9249,x,15953
    Elementary sales occupations,925,11845,12076
      Shelf fillers,9251,11452,11858
      Elementary sales occupations n.e.c.,9259,13047,13647
    Elementary storage occupations,926,19204,20248
      Elementary storage occupations,9260,19204,20248
    Other elementary services occupations,927,8315,9304
      Hospital porters,9271,17706,17758
      Kitchen and catering assistants,9272,9275,10123
      Waiters and waitresses,9273,6407,7965
      Bar staff,9274,6588,7655
      Leisure and theme park attendants,9275,x,x
      Other elementary services occupations n.e.c.,9279,x,8618
Not Classified,,,
